Pressure (dB),Frequency (kHz),Angle (degrees),Length (m),Velocity (m/s),Displacement (m)
126.16,-0.7117553313654281,-1.1613508177728427,0.9846928512996195,0.2891087162027761,-0.6748363694007363
133.311,-0.27843550166065245,0.7535473718954995,-0.9300761921103639,1.299773228256939,0.2068469062406904
125.589,-0.12028957841073432,-0.6997235756206529,0.16407754698105528,-0.7279524066871728,-0.6258306771563914
126.644,-0.27843550166065245,1.8135802983190459,-1.2036146268832186,-0.7279524066871728,0.4425335357399022
131.01,-0.4049522402605869,-1.1613508177728427,-0.9300761921103639,-1.2332846627142544,-0.7857104381512013
127.71,-0.5156543865355296,0.3603093508028937,-0.38299932256465435,-0.7279524066871728,0.0861516380565676
130.715,-0.7528732714104068,-0.47745860717700606,1.805308155618184,1.299773228256939,-0.4738994076943273
123.564,0.08530012181415923,1.8135802983190459,-1.2036146268832186,-0.7279524066871728,0.4425335357399022
123.217,5.414817735336399,-1.1613508177728427,-1.2036146268832186,1.299773228256939,-0.8165116849528259
120.538,1.619315577338365,1.0100069508689382,-1.2036146268832186,1.299773228256939,0.06528222552262233
